season_year,section,division,mean_beneficial_fraction,median_beneficial_fraction,min_beneficial_fraction,max_beneficial_fraction,std_beneficial_fraction,mean_crop_water_deficit,median_crop_water_deficit,min_crop_water_deficit,max_crop_water_deficit,std_crop_water_deficit,mean_relative_water_deficit,median_relative_water_deficit,min_relative_water_deficit,max_relative_water_deficit,std_relative_water_deficit,mean_total_seasonal_biomass_production,median_total_seasonal_biomass_production,min_total_seasonal_biomass_production,max_total_seasonal_biomass_production,std_total_seasonal_biomass_production,mean_seasonal_yield,median_seasonal_yield,min_seasonal_yield,max_seasonal_yield,std_seasonal_yield,mean_crop_water_productivity,median_crop_water_productivity,min_crop_water_productivity,max_crop_water_productivity,std_crop_water_productivity,crs
2022-2023,Beshbeash,East-Gharbia,0.79,0.8,0.0,0.91,0.08,0.64,0.65,0.09,0.97,0.11,0.36,0.35,0.03,0.91,0.11,2.2,2.21,0.0,3.78,0.5,1.59,1.59,0.0,2.72,0.36,1.95,1.93,0.0,2.61,0.2,0
2022-2023,East Mahala,East-Gharbia,0.78,0.8,0.0,0.89,0.1,0.65,0.67,0.08,0.92,0.12,0.35,0.33,0.08,0.92,0.12,2.22,2.2,0.0,3.59,0.57,1.6,1.58,0.0,2.59,0.41,1.89,1.87,0.0,2.51,0.24,0
2022-2023,West Mahala,East-Gharbia,0.78,0.8,0.0,0.9,0.09,0.66,0.67,0.1,0.96,0.12,0.34,0.33,0.04,0.9,0.12,2.18,2.16,0.0,3.94,0.56,1.57,1.55,0.0,2.84,0.4,1.85,1.84,0.0,2.49,0.22,0
2022-2023,Qatour,Central-Gharbia,0.77,0.79,0.0,0.9,0.09,0.62,0.64,0.08,0.96,0.12,0.38,0.36,0.04,0.92,0.12,2.12,2.11,0.0,3.67,0.54,1.53,1.52,0.0,2.65,0.39,1.92,1.91,0.0,2.63,0.22,0
2022-2023,Tanta,Central-Gharbia,0.77,0.78,0.0,0.9,0.08,0.61,0.62,0.13,0.93,0.12,0.39,0.38,0.07,0.87,0.12,2.02,1.99,0.0,4.08,0.53,1.45,1.43,0.0,2.94,0.38,1.81,1.8,0.0,3.12,0.22,0
2022-2023,Kafr El-Zayat,West-Gharbia,0.77,0.79,0.0,0.9,0.08,0.6,0.61,0.11,0.97,0.12,0.4,0.39,0.03,0.89,0.12,2.02,2.01,0.0,3.55,0.48,1.46,1.45,0.0,2.56,0.34,1.86,1.85,0.0,2.5,0.2,0
2022-2023,Basyon,West-Gharbia,0.78,0.79,0.0,0.9,0.07,0.63,0.64,0.11,1.0,0.12,0.37,0.36,-0.0,0.89,0.12,2.14,2.12,0.0,3.7,0.51,1.54,1.53,0.0,2.67,0.37,1.91,1.9,0.0,2.53,0.2,0
2023-2024,Beshbeash,East-Gharbia,0.81,0.82,0.0,0.91,0.08,0.68,0.68,0.13,0.95,0.12,0.32,0.32,0.05,0.87,0.12,1.63,1.63,0.0,2.65,0.37,1.17,1.17,0.0,1.91,0.26,2.3,2.32,0.0,2.94,0.21,0
2023-2024,East Mahala,East-Gharbia,0.8,0.82,0.0,0.9,0.1,0.67,0.67,0.1,0.92,0.12,0.33,0.33,0.08,0.9,0.12,1.61,1.62,0.0,2.64,0.4,1.16,1.17,0.0,1.9,0.29,2.27,2.29,0.0,2.98,0.25,0
2023-2024,West Mahala,East-Gharbia,0.8,0.81,0.0,0.9,0.09,0.67,0.67,0.1,0.96,0.12,0.33,0.33,0.04,0.9,0.12,1.58,1.57,0.0,2.63,0.4,1.14,1.13,0.0,1.9,0.29,2.22,2.21,0.0,2.93,0.24,0
2023-2024,Qatour,Central-Gharbia,0.8,0.81,0.0,0.9,0.09,0.67,0.66,0.11,0.95,0.12,0.33,0.34,0.05,0.89,0.12,1.61,1.6,0.0,2.65,0.39,1.16,1.15,0.0,1.91,0.28,2.29,2.31,0.0,3.07,0.25,0
2023-2024,Tanta,Central-Gharbia,0.8,0.81,0.0,0.91,0.08,0.65,0.65,0.13,0.94,0.12,0.35,0.35,0.06,0.87,0.12,1.51,1.5,0.0,2.87,0.39,1.08,1.08,0.0,2.07,0.28,2.15,2.12,0.0,3.69,0.22,0
2023-2024,Kafr El-Zayat,West-Gharbia,0.81,0.82,0.0,0.91,0.07,0.66,0.66,0.11,0.96,0.12,0.34,0.34,0.04,0.89,0.12,1.56,1.56,0.0,2.67,0.37,1.12,1.12,0.0,1.93,0.26,2.2,2.18,0.0,2.94,0.21,0
2023-2024,Basyon,West-Gharbia,0.81,0.82,0.0,0.91,0.07,0.67,0.67,0.12,0.97,0.12,0.33,0.33,0.03,0.88,0.12,1.63,1.63,0.0,2.69,0.38,1.17,1.17,0.0,1.94,0.27,2.31,2.29,0.0,3.0,0.23,0
