season_year,section,division,mean_beneficial_fraction,median_beneficial_fraction,min_beneficial_fraction,max_beneficial_fraction,std_beneficial_fraction,mean_crop_water_deficit,median_crop_water_deficit,min_crop_water_deficit,max_crop_water_deficit,std_crop_water_deficit,mean_relative_water_deficit,median_relative_water_deficit,min_relative_water_deficit,max_relative_water_deficit,std_relative_water_deficit,mean_total_seasonal_biomass_production,median_total_seasonal_biomass_production,min_total_seasonal_biomass_production,max_total_seasonal_biomass_production,std_total_seasonal_biomass_production,mean_seasonal_yield,median_seasonal_yield,min_seasonal_yield,max_seasonal_yield,std_seasonal_yield,mean_crop_water_productivity,median_crop_water_productivity,min_crop_water_productivity,max_crop_water_productivity,std_crop_water_productivity,crs
2022-2023,Beshbeash,East-Gharbia,0.77,0.8,0.0,0.91,0.11,0.62,0.65,0.07,0.97,0.13,0.38,0.35,0.03,0.93,0.13,2.12,2.17,0.0,3.8,0.58,0.4,0.41,0.0,0.71,0.11,0.5,0.5,0.0,0.68,0.06,0
2022-2023,East Mahala,East-Gharbia,0.75,0.79,0.0,0.9,0.14,0.62,0.65,0.06,0.94,0.15,0.38,0.35,0.06,0.94,0.15,2.08,2.13,0.0,3.72,0.65,0.39,0.4,0.0,0.7,0.12,0.48,0.48,0.0,0.66,0.08,0
2022-2023,West Mahala,East-Gharbia,0.76,0.79,0.0,0.9,0.12,0.64,0.66,0.09,0.96,0.14,0.36,0.34,0.04,0.91,0.14,2.08,2.09,0.0,3.8,0.62,0.39,0.39,0.0,0.72,0.12,0.47,0.48,0.0,0.66,0.07,0
2022-2023,Qatour,Central-Gharbia,0.75,0.78,0.0,0.9,0.14,0.6,0.63,0.06,0.96,0.15,0.4,0.37,0.04,0.94,0.15,2.02,2.07,0.0,3.91,0.64,0.38,0.39,0.0,0.74,0.12,0.49,0.49,0.0,0.81,0.08,0
2022-2023,Tanta,Central-Gharbia,0.75,0.77,0.0,0.9,0.11,0.59,0.6,0.08,0.95,0.13,0.41,0.4,0.05,0.92,0.13,1.92,1.9,0.0,3.62,0.57,0.36,0.36,0.0,0.68,0.11,0.47,0.47,0.0,0.8,0.07,0
2022-2023,Kafr El-Zayat,West-Gharbia,0.76,0.78,0.0,0.9,0.1,0.58,0.6,0.08,0.95,0.13,0.42,0.4,0.05,0.92,0.13,1.94,1.96,0.0,3.53,0.52,0.37,0.37,0.0,0.67,0.1,0.48,0.48,0.0,0.68,0.06,0
2022-2023,Basyon,West-Gharbia,0.76,0.79,0.0,0.9,0.1,0.61,0.63,0.08,0.97,0.13,0.39,0.37,0.03,0.92,0.13,2.07,2.07,0.0,3.8,0.56,0.39,0.39,0.0,0.72,0.11,0.5,0.5,0.0,0.67,0.06,0
2023-2024,Beshbeash,East-Gharbia,0.8,0.83,0.0,0.91,0.12,0.69,0.71,0.1,0.95,0.16,0.31,0.29,0.05,0.9,0.16,1.72,1.73,0.0,2.71,0.54,0.32,0.33,0.0,0.51,0.1,0.61,0.62,0.0,0.8,0.09,0
2023-2024,East Mahala,East-Gharbia,0.79,0.83,0.0,0.9,0.15,0.68,0.7,0.07,0.92,0.18,0.32,0.3,0.08,0.93,0.18,1.69,1.71,0.0,2.68,0.6,0.32,0.32,0.0,0.5,0.11,0.6,0.61,0.0,0.78,0.11,0
2023-2024,West Mahala,East-Gharbia,0.78,0.81,0.0,0.9,0.12,0.65,0.65,0.09,0.96,0.16,0.35,0.35,0.04,0.91,0.16,1.52,1.46,0.0,2.68,0.53,0.29,0.28,0.0,0.5,0.1,0.57,0.56,0.0,0.77,0.09,0
2023-2024,Qatour,Central-Gharbia,0.78,0.82,0.0,0.9,0.15,0.65,0.67,0.08,0.94,0.17,0.35,0.33,0.06,0.92,0.17,1.59,1.6,0.0,3.3,0.59,0.3,0.3,0.0,0.62,0.11,0.59,0.59,0.0,1.0,0.11,0
2023-2024,Tanta,Central-Gharbia,0.77,0.79,0.0,0.91,0.11,0.6,0.59,0.11,0.94,0.15,0.4,0.41,0.06,0.89,0.15,1.36,1.27,0.0,3.16,0.49,0.26,0.24,0.0,0.6,0.09,0.54,0.53,0.0,1.03,0.08,0
2023-2024,Kafr El-Zayat,West-Gharbia,0.79,0.81,0.0,0.91,0.1,0.63,0.64,0.08,0.95,0.14,0.37,0.36,0.05,0.92,0.14,1.44,1.44,0.0,2.7,0.46,0.27,0.27,0.0,0.51,0.09,0.56,0.55,0.0,0.77,0.07,0
2023-2024,Basyon,West-Gharbia,0.79,0.81,0.0,0.91,0.11,0.65,0.65,0.09,0.93,0.15,0.35,0.35,0.07,0.91,0.15,1.58,1.56,0.0,2.77,0.54,0.3,0.29,0.0,0.52,0.1,0.59,0.58,0.0,0.8,0.09,0
