season_year,section,division,mean_beneficial_fraction,median_beneficial_fraction,min_beneficial_fraction,max_beneficial_fraction,std_beneficial_fraction,mean_crop_water_deficit,median_crop_water_deficit,min_crop_water_deficit,max_crop_water_deficit,std_crop_water_deficit,mean_relative_water_deficit,median_relative_water_deficit,min_relative_water_deficit,max_relative_water_deficit,std_relative_water_deficit,mean_total_seasonal_biomass_production,median_total_seasonal_biomass_production,min_total_seasonal_biomass_production,max_total_seasonal_biomass_production,std_total_seasonal_biomass_production,mean_seasonal_yield,median_seasonal_yield,min_seasonal_yield,max_seasonal_yield,std_seasonal_yield,mean_crop_water_productivity,median_crop_water_productivity,min_crop_water_productivity,max_crop_water_productivity,std_crop_water_productivity,crs
2022-2023,Beshbeash,East-Gharbia,0.79,0.83,0.0,0.93,0.12,0.58,0.6,0.07,0.86,0.11,0.42,0.4,0.14,0.93,0.11,0.97,1.0,0.0,1.77,0.25,0.18,0.19,0.0,0.33,0.05,0.28,0.28,0.0,0.37,0.04,0
2022-2023,East Mahala,East-Gharbia,0.78,0.83,0.0,0.94,0.14,0.57,0.6,0.08,0.81,0.12,0.43,0.4,0.19,0.92,0.12,0.96,0.99,0.0,1.61,0.26,0.18,0.19,0.0,0.3,0.05,0.28,0.28,0.0,0.35,0.04,0
2022-2023,West Mahala,East-Gharbia,0.78,0.82,0.0,0.93,0.13,0.56,0.58,0.07,0.86,0.12,0.44,0.42,0.14,0.93,0.12,0.9,0.92,0.0,1.65,0.25,0.17,0.17,0.0,0.31,0.05,0.26,0.27,0.0,0.35,0.04,0
2022-2023,Qatour,Central-Gharbia,0.78,0.83,0.0,0.94,0.15,0.55,0.57,0.06,0.85,0.13,0.45,0.43,0.15,0.94,0.13,0.89,0.92,0.0,1.72,0.27,0.17,0.17,0.0,0.32,0.05,0.27,0.27,0.0,0.41,0.04,0
2022-2023,Tanta,Central-Gharbia,0.78,0.81,0.0,0.93,0.14,0.54,0.56,0.08,0.84,0.12,0.46,0.44,0.16,0.92,0.12,0.83,0.86,0.0,1.59,0.24,0.16,0.16,0.0,0.3,0.05,0.25,0.25,0.0,0.44,0.03,0
2022-2023,Kafr El-Zayat,West-Gharbia,0.79,0.82,0.0,0.93,0.12,0.54,0.56,0.1,0.84,0.11,0.46,0.44,0.16,0.9,0.11,0.86,0.88,0.0,1.7,0.23,0.16,0.17,0.0,0.32,0.04,0.26,0.26,0.0,0.34,0.03,0
2022-2023,Basyon,West-Gharbia,0.8,0.83,0.0,0.93,0.11,0.56,0.57,0.07,0.89,0.11,0.44,0.43,0.11,0.93,0.11,0.92,0.93,0.0,1.77,0.25,0.17,0.18,0.0,0.33,0.05,0.28,0.28,0.0,0.36,0.03,0
2023-2024,Beshbeash,East-Gharbia,0.76,0.8,0.0,0.92,0.13,0.58,0.6,0.09,0.88,0.12,0.42,0.4,0.12,0.91,0.12,0.76,0.78,0.0,1.41,0.21,0.14,0.15,0.0,0.27,0.04,0.22,0.23,0.0,0.31,0.03,0
2023-2024,East Mahala,East-Gharbia,0.76,0.8,0.0,0.92,0.14,0.58,0.61,0.1,0.85,0.13,0.42,0.39,0.15,0.9,0.13,0.78,0.82,0.0,1.41,0.22,0.15,0.15,0.0,0.27,0.04,0.22,0.23,0.0,0.3,0.03,0
2023-2024,West Mahala,East-Gharbia,0.74,0.78,0.0,0.93,0.13,0.55,0.57,0.09,0.86,0.12,0.45,0.43,0.14,0.91,0.12,0.73,0.75,0.0,1.39,0.21,0.14,0.14,0.0,0.26,0.04,0.22,0.23,0.0,0.31,0.03,0
2023-2024,Qatour,Central-Gharbia,0.73,0.78,0.0,0.92,0.15,0.52,0.54,0.1,0.88,0.12,0.48,0.46,0.12,0.9,0.12,0.7,0.72,0.0,1.47,0.22,0.13,0.13,0.0,0.28,0.04,0.22,0.23,0.0,0.38,0.04,0
2023-2024,Tanta,Central-Gharbia,0.74,0.78,0.0,0.92,0.13,0.52,0.54,0.09,0.86,0.11,0.48,0.46,0.14,0.91,0.11,0.68,0.7,0.0,1.56,0.2,0.13,0.13,0.0,0.29,0.04,0.22,0.22,0.0,0.42,0.03,0
2023-2024,Kafr El-Zayat,West-Gharbia,0.76,0.79,0.0,0.93,0.12,0.53,0.54,0.1,0.86,0.11,0.47,0.46,0.14,0.9,0.11,0.73,0.74,0.0,1.38,0.21,0.14,0.14,0.0,0.26,0.04,0.23,0.24,0.0,0.32,0.03,0
2023-2024,Basyon,West-Gharbia,0.77,0.8,0.0,0.93,0.11,0.55,0.56,0.11,0.89,0.11,0.45,0.44,0.11,0.89,0.11,0.79,0.8,0.0,1.55,0.21,0.15,0.15,0.0,0.29,0.04,0.24,0.25,0.0,0.33,0.03,0
