season_year,section,division,mean_beneficial_fraction,median_beneficial_fraction,min_beneficial_fraction,max_beneficial_fraction,std_beneficial_fraction,mean_crop_water_deficit,median_crop_water_deficit,min_crop_water_deficit,max_crop_water_deficit,std_crop_water_deficit,mean_relative_water_deficit,median_relative_water_deficit,min_relative_water_deficit,max_relative_water_deficit,std_relative_water_deficit,mean_total_seasonal_biomass_production,median_total_seasonal_biomass_production,min_total_seasonal_biomass_production,max_total_seasonal_biomass_production,std_total_seasonal_biomass_production,mean_seasonal_yield,median_seasonal_yield,min_seasonal_yield,max_seasonal_yield,std_seasonal_yield,mean_crop_water_productivity,median_crop_water_productivity,min_crop_water_productivity,max_crop_water_productivity,std_crop_water_productivity,crs
2022-2023,Beshbeash,East-Gharbia,0.8,0.83,0.0,0.93,0.13,0.58,0.61,0.09,0.87,0.11,0.42,0.39,0.13,0.91,0.11,0.97,1.0,0.0,1.75,0.25,0.77,0.79,0.0,1.39,0.2,1.17,1.19,0.0,1.56,0.15,0
2022-2023,East Mahala,East-Gharbia,0.79,0.83,0.0,0.94,0.14,0.57,0.61,0.07,0.81,0.12,0.43,0.39,0.19,0.93,0.12,0.96,1.0,0.0,1.61,0.26,0.76,0.79,0.0,1.27,0.21,1.15,1.18,0.0,1.47,0.16,0
2022-2023,West Mahala,East-Gharbia,0.79,0.82,0.0,0.93,0.14,0.57,0.59,0.1,0.85,0.11,0.43,0.41,0.15,0.9,0.11,0.91,0.93,0.0,1.6,0.26,0.72,0.74,0.0,1.27,0.2,1.11,1.13,0.0,1.45,0.17,0
2022-2023,Qatour,Central-Gharbia,0.77,0.83,0.0,0.93,0.17,0.55,0.58,0.08,0.85,0.13,0.45,0.42,0.15,0.92,0.13,0.88,0.92,0.0,1.72,0.28,0.7,0.73,0.0,1.36,0.22,1.11,1.15,0.0,1.85,0.2,0
2022-2023,Tanta,Central-Gharbia,0.77,0.82,0.0,0.92,0.15,0.54,0.56,0.07,0.83,0.12,0.46,0.44,0.17,0.93,0.12,0.84,0.87,0.0,1.56,0.25,0.66,0.69,0.0,1.24,0.2,1.05,1.07,0.0,1.57,0.16,0
2022-2023,Kafr El-Zayat,West-Gharbia,0.8,0.83,0.0,0.93,0.12,0.55,0.56,0.09,0.85,0.11,0.45,0.44,0.15,0.91,0.11,0.87,0.89,0.0,1.69,0.23,0.69,0.71,0.0,1.34,0.18,1.09,1.12,0.0,1.44,0.14,0
2022-2023,Basyon,West-Gharbia,0.8,0.83,0.0,0.93,0.12,0.57,0.58,0.06,0.88,0.11,0.43,0.42,0.12,0.94,0.11,0.94,0.94,0.0,1.78,0.25,0.74,0.75,0.0,1.41,0.2,1.16,1.17,0.0,1.51,0.14,0
2023-2024,Beshbeash,East-Gharbia,0.75,0.79,0.0,0.92,0.14,0.57,0.59,0.12,0.88,0.12,0.43,0.41,0.12,0.88,0.12,0.74,0.76,0.0,1.4,0.21,0.58,0.6,0.0,1.11,0.16,0.92,0.94,0.0,1.33,0.13,0
2023-2024,East Mahala,East-Gharbia,0.73,0.78,0.0,0.92,0.15,0.55,0.58,0.11,0.86,0.13,0.45,0.42,0.14,0.89,0.13,0.73,0.76,0.0,1.38,0.21,0.58,0.6,0.0,1.09,0.17,0.93,0.95,0.0,1.22,0.13,0
2023-2024,West Mahala,East-Gharbia,0.74,0.77,0.0,0.93,0.14,0.54,0.56,0.12,0.86,0.11,0.46,0.44,0.14,0.88,0.11,0.71,0.72,0.0,1.42,0.2,0.56,0.57,0.0,1.13,0.16,0.92,0.94,0.0,1.31,0.14,0
2023-2024,Qatour,Central-Gharbia,0.71,0.77,0.0,0.93,0.17,0.51,0.53,0.1,0.88,0.12,0.49,0.47,0.12,0.9,0.12,0.66,0.68,0.0,1.49,0.22,0.52,0.54,0.0,1.18,0.18,0.9,0.94,0.0,1.59,0.18,0
2023-2024,Tanta,Central-Gharbia,0.73,0.77,0.0,0.92,0.14,0.51,0.53,0.09,0.86,0.11,0.49,0.47,0.14,0.91,0.11,0.66,0.68,0.0,1.33,0.19,0.52,0.54,0.0,1.05,0.15,0.89,0.9,0.0,1.47,0.14,0
2023-2024,Kafr El-Zayat,West-Gharbia,0.76,0.79,0.0,0.93,0.12,0.52,0.53,0.1,0.85,0.11,0.48,0.47,0.15,0.9,0.11,0.71,0.72,0.0,1.34,0.19,0.56,0.57,0.0,1.06,0.15,0.95,0.97,0.0,1.36,0.13,0
2023-2024,Basyon,West-Gharbia,0.76,0.79,0.0,0.93,0.12,0.54,0.55,0.1,0.89,0.1,0.46,0.45,0.11,0.9,0.1,0.76,0.77,0.0,1.59,0.2,0.6,0.61,0.0,1.26,0.16,1.0,1.01,0.0,1.38,0.13,0
