season_year,section,division,mean_beneficial_fraction,median_beneficial_fraction,min_beneficial_fraction,max_beneficial_fraction,std_beneficial_fraction,mean_crop_water_deficit,median_crop_water_deficit,min_crop_water_deficit,max_crop_water_deficit,std_crop_water_deficit,mean_relative_water_deficit,median_relative_water_deficit,min_relative_water_deficit,max_relative_water_deficit,std_relative_water_deficit,mean_total_seasonal_biomass_production,median_total_seasonal_biomass_production,min_total_seasonal_biomass_production,max_total_seasonal_biomass_production,std_total_seasonal_biomass_production,mean_seasonal_yield,median_seasonal_yield,min_seasonal_yield,max_seasonal_yield,std_seasonal_yield,mean_crop_water_productivity,median_crop_water_productivity,min_crop_water_productivity,max_crop_water_productivity,std_crop_water_productivity,crs
2022-2023,Beshbeash,East-Gharbia,0.8,0.83,0.0,0.92,0.13,0.59,0.61,0.05,0.82,0.11,0.41,0.39,0.18,0.95,0.11,0.98,1.0,0.0,1.67,0.25,0.7,0.72,0.0,1.21,0.18,1.06,1.08,0.0,1.39,0.14,0
2022-2023,East Mahala,East-Gharbia,0.78,0.83,0.0,0.94,0.18,0.57,0.61,0.07,0.81,0.14,0.43,0.39,0.19,0.93,0.14,0.94,0.99,0.0,1.61,0.29,0.68,0.72,0.0,1.16,0.21,1.03,1.06,0.0,1.32,0.19,0
2022-2023,West Mahala,East-Gharbia,0.78,0.82,0.0,0.92,0.15,0.56,0.58,0.08,0.84,0.12,0.44,0.42,0.16,0.92,0.12,0.89,0.92,0.0,1.56,0.26,0.64,0.66,0.0,1.12,0.19,1.0,1.02,0.0,1.29,0.16,0
2022-2023,Qatour,Central-Gharbia,0.78,0.82,0.0,0.94,0.14,0.54,0.56,0.06,0.84,0.12,0.46,0.44,0.16,0.94,0.12,0.88,0.9,0.0,1.75,0.25,0.63,0.65,0.0,1.26,0.18,1.02,1.04,0.0,1.77,0.15,0
2022-2023,Tanta,Central-Gharbia,0.78,0.82,0.0,0.92,0.14,0.54,0.56,0.1,0.82,0.12,0.46,0.44,0.18,0.9,0.12,0.84,0.87,0.0,1.53,0.24,0.61,0.62,0.0,1.1,0.17,0.96,0.98,0.0,1.65,0.13,0
2022-2023,Kafr El-Zayat,West-Gharbia,0.79,0.82,0.0,0.93,0.12,0.53,0.55,0.08,0.86,0.11,0.47,0.45,0.14,0.92,0.11,0.84,0.86,0.0,1.64,0.23,0.61,0.62,0.0,1.18,0.16,0.99,1.01,0.0,1.28,0.12,0
2022-2023,Basyon,West-Gharbia,0.79,0.82,0.0,0.93,0.12,0.55,0.56,0.09,0.87,0.11,0.45,0.44,0.13,0.91,0.11,0.9,0.9,0.0,1.75,0.25,0.65,0.65,0.0,1.26,0.18,1.05,1.06,0.0,1.37,0.12,0
2023-2024,Beshbeash,East-Gharbia,0.78,0.82,0.0,0.91,0.13,0.6,0.63,0.08,0.86,0.12,0.4,0.37,0.14,0.92,0.12,0.8,0.82,0.0,1.37,0.22,0.58,0.59,0.0,0.98,0.16,0.86,0.87,0.0,1.15,0.12,0
2023-2024,East Mahala,East-Gharbia,0.74,0.8,0.0,0.91,0.18,0.58,0.61,0.1,0.84,0.15,0.42,0.39,0.16,0.9,0.15,0.79,0.82,0.0,1.39,0.26,0.57,0.59,0.0,1.0,0.19,0.85,0.88,0.0,1.12,0.16,0
2023-2024,West Mahala,East-Gharbia,0.75,0.79,0.0,0.92,0.15,0.57,0.59,0.12,0.85,0.13,0.43,0.41,0.15,0.88,0.13,0.76,0.79,0.0,1.34,0.23,0.55,0.57,0.0,0.97,0.17,0.85,0.87,0.0,1.14,0.14,0
2023-2024,Qatour,Central-Gharbia,0.75,0.79,0.0,0.92,0.15,0.55,0.57,0.08,0.85,0.13,0.45,0.43,0.15,0.92,0.13,0.74,0.76,0.0,1.41,0.23,0.53,0.54,0.0,1.01,0.17,0.85,0.88,0.0,1.57,0.14,0
2023-2024,Tanta,Central-Gharbia,0.75,0.79,0.0,0.92,0.13,0.54,0.55,0.11,0.86,0.12,0.46,0.45,0.14,0.89,0.12,0.71,0.73,0.0,1.33,0.21,0.51,0.53,0.0,0.96,0.15,0.83,0.85,0.0,1.37,0.12,0
2023-2024,Kafr El-Zayat,West-Gharbia,0.76,0.79,0.0,0.92,0.12,0.54,0.55,0.1,0.86,0.11,0.46,0.45,0.14,0.9,0.11,0.75,0.77,0.0,1.36,0.21,0.54,0.55,0.0,0.98,0.15,0.88,0.91,0.0,1.2,0.11,0
2023-2024,Basyon,West-Gharbia,0.78,0.81,0.0,0.92,0.12,0.57,0.58,0.11,0.87,0.12,0.43,0.42,0.13,0.89,0.12,0.82,0.83,0.0,1.47,0.22,0.59,0.6,0.0,1.05,0.16,0.93,0.95,0.0,1.28,0.11,0
