season_year,section,division,mean_beneficial_fraction,median_beneficial_fraction,min_beneficial_fraction,max_beneficial_fraction,std_beneficial_fraction,mean_crop_water_deficit,median_crop_water_deficit,min_crop_water_deficit,max_crop_water_deficit,std_crop_water_deficit,mean_relative_water_deficit,median_relative_water_deficit,min_relative_water_deficit,max_relative_water_deficit,std_relative_water_deficit,mean_total_seasonal_biomass_production,median_total_seasonal_biomass_production,min_total_seasonal_biomass_production,max_total_seasonal_biomass_production,std_total_seasonal_biomass_production,mean_seasonal_yield,median_seasonal_yield,min_seasonal_yield,max_seasonal_yield,std_seasonal_yield,mean_crop_water_productivity,median_crop_water_productivity,min_crop_water_productivity,max_crop_water_productivity,std_crop_water_productivity,crs
2022-2023,Beshbeash,East-Gharbia,0.79,0.8,0.0,0.89,0.07,0.64,0.65,0.12,0.92,0.11,0.36,0.35,0.08,0.88,0.11,2.21,2.2,0.04,3.53,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-2023,East Mahala,East-Gharbia,0.78,0.8,0.02,0.89,0.09,0.66,0.67,0.1,0.89,0.12,0.34,0.33,0.11,0.9,0.12,2.21,2.19,0.02,3.55,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-2023,West Mahala,East-Gharbia,0.78,0.8,0.01,0.9,0.09,0.66,0.67,0.14,1.0,0.12,0.34,0.33,0.0,0.86,0.12,2.16,2.14,0.0,3.46,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-2023,Qatour,Central-Gharbia,0.78,0.8,0.0,0.9,0.09,0.63,0.65,0.12,0.95,0.12,0.37,0.35,0.05,0.88,0.12,2.1,2.1,0.0,3.52,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-2023,Tanta,Central-Gharbia,0.78,0.79,0.0,0.9,0.08,0.63,0.63,0.14,0.93,0.12,0.37,0.37,0.07,0.86,0.12,2.03,2.03,0.0,3.45,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-2023,Kafr El-Zayat,West-Gharbia,0.79,0.8,0.0,0.91,0.08,0.63,0.63,0.12,0.95,0.12,0.37,0.37,0.05,0.88,0.12,2.03,2.04,0.0,3.34,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-2023,Basyon,West-Gharbia,0.8,0.81,0.06,0.91,0.07,0.67,0.67,0.14,0.99,0.14,0.33,0.33,0.01,0.86,0.14,2.18,2.17,0.06,3.51,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-2024,Beshbeash,East-Gharbia,0.81,0.82,0.0,0.9,0.06,0.67,0.67,0.12,0.94,0.1,0.33,0.33,0.06,0.88,0.1,1.61,1.6,0.01,2.59,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-2024,East Mahala,East-Gharbia,0.8,0.81,0.0,0.9,0.09,0.66,0.66,0.11,0.91,0.12,0.34,0.34,0.09,0.89,0.12,1.57,1.56,0.02,2.59,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-2024,West Mahala,East-Gharbia,0.8,0.81,0.0,0.9,0.08,0.67,0.67,0.12,0.91,0.12,0.33,0.33,0.09,0.88,0.12,1.55,1.55,0.0,2.62,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-2024,Qatour,Central-Gharbia,0.8,0.81,0.0,0.9,0.09,0.66,0.66,0.12,0.92,0.12,0.34,0.34,0.08,0.88,0.12,1.56,1.57,0.0,2.61,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-2024,Tanta,Central-Gharbia,0.81,0.82,0.0,0.91,0.08,0.66,0.67,0.12,0.92,0.12,0.34,0.33,0.08,0.88,0.12,1.53,1.53,0.0,2.6,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-2024,Kafr El-Zayat,West-Gharbia,0.82,0.83,0.0,0.9,0.08,0.67,0.68,0.12,0.95,0.12,0.33,0.32,0.05,0.88,0.12,1.55,1.54,0.0,2.65,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-2024,Basyon,West-Gharbia,0.82,0.84,0.0,0.91,0.07,0.7,0.7,0.14,0.95,0.12,0.3,0.3,0.05,0.86,0.12,1.65,1.65,0.07,2.63,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
