season_year,section,division,mean_beneficial_fraction,median_beneficial_fraction,min_beneficial_fraction,max_beneficial_fraction,std_beneficial_fraction,mean_crop_water_deficit,median_crop_water_deficit,min_crop_water_deficit,max_crop_water_deficit,std_crop_water_deficit,mean_relative_water_deficit,median_relative_water_deficit,min_relative_water_deficit,max_relative_water_deficit,std_relative_water_deficit,mean_total_seasonal_biomass_production,median_total_seasonal_biomass_production,min_total_seasonal_biomass_production,max_total_seasonal_biomass_production,std_total_seasonal_biomass_production,mean_seasonal_yield,median_seasonal_yield,min_seasonal_yield,max_seasonal_yield,std_seasonal_yield,mean_crop_water_productivity,median_crop_water_productivity,min_crop_water_productivity,max_crop_water_productivity,std_crop_water_productivity,crs
2022-2023,Beshbeash,East-Gharbia,0.83,0.84,0.0,0.92,0.06,0.61,0.61,0.11,0.83,0.07,0.39,0.39,0.17,0.89,0.07,1.01,1.01,0.0,1.7,0.19,0.73,0.73,0.0,1.22,0.14,1.07,1.07,0.0,1.41,0.1,0
2022-2023,East Mahala,East-Gharbia,0.84,0.85,0.0,0.93,0.07,0.62,0.63,0.08,0.84,0.08,0.38,0.37,0.16,0.92,0.08,1.04,1.05,0.0,1.64,0.19,0.75,0.76,0.0,1.18,0.14,1.07,1.07,0.0,1.35,0.09,0
2022-2023,West Mahala,East-Gharbia,0.82,0.83,0.0,0.93,0.06,0.6,0.6,0.1,0.83,0.08,0.4,0.4,0.17,0.9,0.08,0.97,0.95,0.0,1.6,0.19,0.69,0.69,0.0,1.16,0.14,1.02,1.03,0.0,1.32,0.1,0
2022-2023,Qatour,Central-Gharbia,0.82,0.83,0.0,0.93,0.06,0.57,0.57,0.05,0.85,0.08,0.43,0.43,0.15,0.95,0.08,0.92,0.92,0.0,1.71,0.19,0.66,0.66,0.0,1.23,0.13,1.03,1.03,0.0,1.33,0.09,0
2022-2023,Tanta,Central-Gharbia,0.82,0.83,0.0,0.93,0.06,0.58,0.59,0.06,0.84,0.08,0.42,0.41,0.16,0.94,0.08,0.91,0.91,0.0,1.59,0.19,0.66,0.65,0.0,1.15,0.13,0.98,0.98,0.0,1.64,0.09,0
2022-2023,Kafr El-Zayat,West-Gharbia,0.8,0.81,0.0,0.93,0.06,0.54,0.53,0.1,0.85,0.07,0.46,0.47,0.15,0.9,0.07,0.83,0.81,0.0,1.57,0.17,0.6,0.59,0.0,1.13,0.12,0.97,0.97,0.0,1.27,0.09,0
2022-2023,Basyon,West-Gharbia,0.81,0.81,0.0,0.93,0.06,0.55,0.54,0.1,0.89,0.07,0.45,0.46,0.11,0.9,0.07,0.89,0.88,0.0,1.76,0.19,0.64,0.63,0.0,1.27,0.14,1.04,1.04,0.0,1.38,0.1,0
2023-2024,Beshbeash,East-Gharbia,0.82,0.83,0.0,0.91,0.05,0.65,0.65,0.14,0.86,0.07,0.35,0.35,0.14,0.86,0.07,0.87,0.86,0.0,1.39,0.15,0.63,0.62,0.0,1.0,0.11,0.88,0.88,0.0,1.13,0.07,0
2023-2024,East Mahala,East-Gharbia,0.82,0.84,0.0,0.93,0.06,0.67,0.68,0.11,0.89,0.08,0.33,0.32,0.11,0.89,0.08,0.93,0.93,0.0,1.45,0.17,0.67,0.67,0.0,1.04,0.12,0.9,0.9,0.0,1.13,0.08,0
2023-2024,West Mahala,East-Gharbia,0.82,0.83,0.0,0.91,0.06,0.65,0.66,0.12,0.87,0.08,0.35,0.34,0.13,0.88,0.08,0.91,0.91,0.0,1.42,0.16,0.66,0.65,0.0,1.02,0.12,0.91,0.91,0.0,1.19,0.08,0
2023-2024,Qatour,Central-Gharbia,0.81,0.83,0.0,0.93,0.08,0.63,0.64,0.08,0.88,0.08,0.37,0.36,0.12,0.92,0.08,0.87,0.88,0.0,1.45,0.18,0.63,0.63,0.0,1.05,0.13,0.9,0.9,0.0,1.19,0.09,0
2023-2024,Tanta,Central-Gharbia,0.81,0.82,0.0,0.92,0.06,0.63,0.63,0.08,0.85,0.07,0.37,0.37,0.15,0.92,0.07,0.88,0.88,0.0,1.38,0.15,0.63,0.64,0.0,0.99,0.11,0.89,0.9,0.0,1.45,0.07,0
2023-2024,Kafr El-Zayat,West-Gharbia,0.82,0.83,0.0,0.91,0.05,0.62,0.63,0.1,0.85,0.07,0.38,0.37,0.15,0.9,0.07,0.92,0.93,0.0,1.46,0.16,0.66,0.67,0.0,1.05,0.12,0.95,0.96,0.0,1.22,0.08,0
2023-2024,Basyon,West-Gharbia,0.83,0.83,0.0,0.91,0.05,0.63,0.63,0.14,0.88,0.07,0.37,0.37,0.12,0.86,0.07,0.96,0.95,0.0,1.51,0.16,0.69,0.68,0.0,1.09,0.12,0.99,0.98,0.0,1.25,0.08,0
