season_year,section,division,mean_beneficial_fraction,median_beneficial_fraction,min_beneficial_fraction,max_beneficial_fraction,std_beneficial_fraction,mean_crop_water_deficit,median_crop_water_deficit,min_crop_water_deficit,max_crop_water_deficit,std_crop_water_deficit,mean_relative_water_deficit,median_relative_water_deficit,min_relative_water_deficit,max_relative_water_deficit,std_relative_water_deficit,mean_total_seasonal_biomass_production,median_total_seasonal_biomass_production,min_total_seasonal_biomass_production,max_total_seasonal_biomass_production,std_total_seasonal_biomass_production,mean_seasonal_yield,median_seasonal_yield,min_seasonal_yield,max_seasonal_yield,std_seasonal_yield,mean_crop_water_productivity,median_crop_water_productivity,min_crop_water_productivity,max_crop_water_productivity,std_crop_water_productivity,crs
2022-2023,Beshbeash,East-Gharbia,0.79,0.83,0.0,0.93,0.13,0.58,0.6,0.08,0.87,0.11,0.42,0.4,0.13,0.92,0.11,0.96,0.99,0.0,1.77,0.25,0.69,0.71,0.0,1.27,0.18,1.06,1.08,0.0,1.39,0.14,0
2022-2023,East Mahala,East-Gharbia,0.78,0.83,0.0,0.94,0.15,0.57,0.6,0.07,0.81,0.13,0.43,0.4,0.19,0.93,0.13,0.94,0.99,0.0,1.63,0.27,0.68,0.71,0.0,1.17,0.19,1.04,1.07,0.0,1.33,0.16,0
2022-2023,West Mahala,East-Gharbia,0.78,0.82,0.0,0.93,0.13,0.56,0.58,0.1,0.83,0.12,0.44,0.42,0.17,0.9,0.12,0.89,0.92,0.0,1.7,0.25,0.64,0.66,0.0,1.23,0.18,1.01,1.03,0.0,1.33,0.14,0
2022-2023,Qatour,Central-Gharbia,0.78,0.82,0.0,0.93,0.14,0.54,0.57,0.06,0.85,0.12,0.46,0.43,0.15,0.94,0.12,0.88,0.91,0.0,1.74,0.25,0.63,0.65,0.0,1.25,0.18,1.02,1.04,0.0,1.63,0.14,0
2022-2023,Tanta,Central-Gharbia,0.77,0.81,0.0,0.92,0.13,0.53,0.55,0.09,0.83,0.12,0.47,0.45,0.17,0.91,0.12,0.83,0.85,0.0,1.55,0.24,0.6,0.61,0.0,1.12,0.17,0.96,0.97,0.0,1.85,0.12,0
2022-2023,Kafr El-Zayat,West-Gharbia,0.79,0.82,0.0,0.92,0.11,0.54,0.55,0.09,0.84,0.11,0.46,0.45,0.16,0.91,0.11,0.85,0.86,0.0,1.52,0.22,0.61,0.62,0.0,1.09,0.16,0.99,1.01,0.0,1.25,0.12,0
2022-2023,Basyon,West-Gharbia,0.79,0.82,0.0,0.93,0.11,0.55,0.56,0.07,0.9,0.11,0.45,0.44,0.1,0.93,0.11,0.9,0.91,0.0,1.73,0.25,0.65,0.66,0.0,1.25,0.18,1.05,1.06,0.0,1.36,0.12,0
2023-2024,Beshbeash,East-Gharbia,0.76,0.8,0.0,0.91,0.13,0.57,0.6,0.11,0.87,0.13,0.43,0.4,0.13,0.89,0.13,0.75,0.77,0.0,1.36,0.22,0.54,0.55,0.0,0.98,0.16,0.85,0.86,0.0,1.16,0.12,0
2023-2024,East Mahala,East-Gharbia,0.73,0.78,0.0,0.92,0.15,0.55,0.57,0.1,0.87,0.14,0.45,0.43,0.13,0.9,0.14,0.74,0.76,0.0,1.4,0.24,0.53,0.55,0.0,1.01,0.17,0.85,0.87,0.0,1.12,0.14,0
2023-2024,West Mahala,East-Gharbia,0.74,0.77,0.0,0.93,0.13,0.55,0.56,0.11,0.86,0.12,0.45,0.44,0.14,0.89,0.12,0.73,0.74,0.0,1.33,0.21,0.52,0.54,0.0,0.96,0.15,0.85,0.87,0.0,1.13,0.12,0
2023-2024,Qatour,Central-Gharbia,0.74,0.77,0.0,0.92,0.14,0.53,0.54,0.1,0.87,0.12,0.47,0.46,0.13,0.9,0.12,0.71,0.72,0.0,1.38,0.22,0.51,0.52,0.0,0.99,0.16,0.85,0.87,0.0,1.37,0.13,0
2023-2024,Tanta,Central-Gharbia,0.74,0.78,0.0,0.92,0.13,0.52,0.54,0.11,0.85,0.11,0.48,0.46,0.15,0.89,0.11,0.69,0.71,0.0,1.4,0.2,0.5,0.51,0.0,1.01,0.14,0.83,0.85,0.0,1.62,0.11,0
2023-2024,Kafr El-Zayat,West-Gharbia,0.76,0.78,0.0,0.93,0.11,0.53,0.54,0.1,0.86,0.11,0.47,0.46,0.14,0.9,0.11,0.73,0.75,0.0,1.37,0.2,0.53,0.54,0.0,0.98,0.14,0.88,0.91,0.0,1.2,0.11,0
2023-2024,Basyon,West-Gharbia,0.77,0.8,0.0,0.93,0.11,0.55,0.56,0.11,0.88,0.11,0.45,0.44,0.12,0.89,0.11,0.79,0.8,0.0,1.55,0.21,0.57,0.58,0.0,1.12,0.15,0.93,0.95,0.0,1.24,0.11,0
