season_year,section,division,mean_beneficial_fraction,median_beneficial_fraction,min_beneficial_fraction,max_beneficial_fraction,std_beneficial_fraction,mean_crop_water_deficit,median_crop_water_deficit,min_crop_water_deficit,max_crop_water_deficit,std_crop_water_deficit,mean_relative_water_deficit,median_relative_water_deficit,min_relative_water_deficit,max_relative_water_deficit,std_relative_water_deficit,mean_total_seasonal_biomass_production,median_total_seasonal_biomass_production,min_total_seasonal_biomass_production,max_total_seasonal_biomass_production,std_total_seasonal_biomass_production,mean_seasonal_yield,median_seasonal_yield,min_seasonal_yield,max_seasonal_yield,std_seasonal_yield,mean_crop_water_productivity,median_crop_water_productivity,min_crop_water_productivity,max_crop_water_productivity,std_crop_water_productivity,crs
2022-2023,Beshbeash,East-Gharbia,0.79,0.8,0.0,0.89,0.07,0.64,0.66,0.09,0.91,0.11,0.36,0.34,0.09,0.91,0.11,2.22,2.21,0.0,3.63,0.48,1.6,1.59,0.0,2.61,0.35,1.95,1.93,0.0,2.55,0.19,0
2022-2023,East Mahala,East-Gharbia,0.79,0.81,0.0,0.89,0.08,0.66,0.68,0.1,0.93,0.12,0.34,0.32,0.07,0.9,0.12,2.25,2.22,0.01,3.59,0.54,1.62,1.6,0.0,2.58,0.39,1.88,1.86,0.03,2.62,0.22,0
2022-2023,West Mahala,East-Gharbia,0.78,0.8,0.0,0.89,0.08,0.66,0.67,0.12,0.96,0.12,0.34,0.33,0.04,0.88,0.12,2.19,2.16,0.0,3.49,0.54,1.58,1.56,0.0,2.51,0.39,1.85,1.83,0.0,2.49,0.22,0
2022-2023,Qatour,Central-Gharbia,0.78,0.79,0.0,0.9,0.08,0.63,0.64,0.1,0.95,0.12,0.37,0.36,0.05,0.9,0.12,2.13,2.12,0.0,3.67,0.51,1.53,1.52,0.0,2.64,0.37,1.9,1.89,0.0,2.55,0.21,0
2022-2023,Tanta,Central-Gharbia,0.77,0.79,0.0,0.9,0.08,0.62,0.63,0.12,0.92,0.12,0.38,0.37,0.08,0.88,0.12,2.03,2.02,0.0,3.56,0.51,1.46,1.45,0.0,2.56,0.37,1.8,1.79,0.0,2.86,0.21,0
2022-2023,Kafr El-Zayat,West-Gharbia,0.78,0.79,0.0,0.91,0.08,0.61,0.62,0.12,0.97,0.12,0.39,0.38,0.03,0.88,0.12,2.02,2.02,0.0,3.42,0.46,1.45,1.45,0.0,2.46,0.33,1.83,1.82,0.0,2.47,0.19,0
2022-2023,Basyon,West-Gharbia,0.79,0.8,0.01,0.91,0.07,0.66,0.66,0.12,1.0,0.13,0.34,0.34,0.0,0.88,0.13,2.17,2.15,0.0,3.65,0.5,1.56,1.55,0.0,2.63,0.36,1.87,1.86,0.0,2.55,0.19,0
2023-2024,Beshbeash,East-Gharbia,0.81,0.82,0.0,0.9,0.07,0.67,0.67,0.12,0.95,0.1,0.33,0.33,0.05,0.88,0.1,1.61,1.6,0.0,2.63,0.31,1.16,1.15,0.0,1.89,0.23,2.29,2.3,0.0,2.89,0.18,0
2023-2024,East Mahala,East-Gharbia,0.8,0.81,0.0,0.9,0.08,0.66,0.66,0.11,0.91,0.11,0.34,0.34,0.09,0.89,0.11,1.58,1.58,0.0,2.62,0.34,1.14,1.14,0.0,1.89,0.25,2.25,2.27,0.0,2.89,0.21,0
2023-2024,West Mahala,East-Gharbia,0.8,0.81,0.0,0.9,0.08,0.67,0.67,0.11,0.95,0.11,0.33,0.33,0.05,0.89,0.11,1.57,1.57,0.0,2.62,0.36,1.13,1.13,0.0,1.89,0.26,2.22,2.23,0.0,2.88,0.22,0
2023-2024,Qatour,Central-Gharbia,0.8,0.81,0.0,0.91,0.08,0.66,0.66,0.11,0.93,0.11,0.34,0.34,0.07,0.89,0.11,1.58,1.57,0.0,2.65,0.36,1.14,1.13,0.0,1.91,0.26,2.26,2.27,0.0,2.96,0.22,0
2023-2024,Tanta,Central-Gharbia,0.8,0.81,0.0,0.91,0.08,0.66,0.66,0.13,0.92,0.12,0.34,0.34,0.08,0.87,0.12,1.52,1.52,0.0,2.76,0.37,1.09,1.09,0.0,1.98,0.27,2.14,2.12,0.0,3.88,0.21,0
2023-2024,Kafr El-Zayat,West-Gharbia,0.81,0.82,0.0,0.91,0.07,0.67,0.67,0.12,0.97,0.12,0.33,0.33,0.03,0.88,0.12,1.55,1.55,0.0,2.64,0.36,1.12,1.11,0.0,1.9,0.26,2.18,2.16,0.0,2.92,0.2,0
2023-2024,Basyon,West-Gharbia,0.82,0.83,0.0,0.91,0.07,0.69,0.69,0.13,0.96,0.12,0.31,0.31,0.04,0.87,0.12,1.64,1.64,0.0,2.67,0.36,1.18,1.18,0.0,1.93,0.26,2.28,2.25,0.0,3.02,0.21,0
