season_year,section,division,mean_beneficial_fraction,median_beneficial_fraction,min_beneficial_fraction,max_beneficial_fraction,std_beneficial_fraction,mean_crop_water_deficit,median_crop_water_deficit,min_crop_water_deficit,max_crop_water_deficit,std_crop_water_deficit,mean_relative_water_deficit,median_relative_water_deficit,min_relative_water_deficit,max_relative_water_deficit,std_relative_water_deficit,mean_total_seasonal_biomass_production,median_total_seasonal_biomass_production,min_total_seasonal_biomass_production,max_total_seasonal_biomass_production,std_total_seasonal_biomass_production,mean_seasonal_yield,median_seasonal_yield,min_seasonal_yield,max_seasonal_yield,std_seasonal_yield,mean_crop_water_productivity,median_crop_water_productivity,min_crop_water_productivity,max_crop_water_productivity,std_crop_water_productivity,crs
2022-2023,Beshbeash,East-Gharbia,0.8,0.81,0.0,0.9,0.05,0.65,0.66,0.13,0.96,0.1,0.35,0.34,0.04,0.87,0.1,2.32,2.3,0.0,3.83,0.46,1.84,1.82,0.0,3.03,0.36,2.21,2.18,0.0,2.86,0.19,0
2022-2023,East Mahala,East-Gharbia,0.8,0.81,0.01,0.89,0.05,0.68,0.68,0.14,0.93,0.09,0.32,0.32,0.07,0.86,0.09,2.41,2.32,0.07,3.62,0.47,1.91,1.83,0.06,2.87,0.38,2.19,2.14,0.3,2.85,0.21,0
2022-2023,West Mahala,East-Gharbia,0.79,0.8,0.0,0.89,0.05,0.68,0.69,0.12,0.94,0.1,0.32,0.31,0.06,0.88,0.1,2.33,2.26,0.0,3.59,0.49,1.84,1.79,0.0,2.84,0.39,2.11,2.09,0.0,2.79,0.21,0
2022-2023,Qatour,Central-Gharbia,0.78,0.8,0.0,0.89,0.06,0.64,0.64,0.12,0.92,0.11,0.36,0.36,0.08,0.88,0.11,2.27,2.23,0.0,3.63,0.49,1.8,1.76,0.0,2.88,0.39,2.21,2.2,0.0,3.23,0.19,0
2022-2023,Tanta,Central-Gharbia,0.78,0.79,0.0,0.9,0.06,0.63,0.63,0.13,0.95,0.11,0.37,0.37,0.05,0.87,0.11,2.13,2.07,0.0,3.55,0.5,1.69,1.64,0.0,2.81,0.4,2.05,2.04,0.0,2.77,0.23,0
2022-2023,Kafr El-Zayat,West-Gharbia,0.78,0.79,0.0,0.89,0.05,0.62,0.63,0.13,0.93,0.1,0.38,0.37,0.07,0.87,0.1,2.15,2.1,0.0,3.58,0.45,1.7,1.66,0.0,2.83,0.36,2.13,2.11,0.0,2.8,0.21,0
2022-2023,Basyon,West-Gharbia,0.79,0.8,0.04,0.89,0.05,0.65,0.65,0.12,0.96,0.1,0.35,0.35,0.04,0.88,0.1,2.25,2.19,0.0,3.74,0.46,1.78,1.74,0.0,2.96,0.37,2.16,2.14,0.0,2.81,0.21,0
2023-2024,Beshbeash,East-Gharbia,0.82,0.82,0.0,0.91,0.04,0.7,0.69,0.13,0.94,0.08,0.3,0.31,0.06,0.87,0.08,1.78,1.73,0.0,2.67,0.28,1.41,1.37,0.0,2.11,0.22,2.69,2.7,0.0,3.24,0.15,0
2023-2024,East Mahala,East-Gharbia,0.82,0.82,0.01,0.9,0.04,0.7,0.68,0.13,0.92,0.08,0.3,0.32,0.08,0.87,0.08,1.79,1.73,0.06,2.68,0.28,1.42,1.37,0.05,2.13,0.22,2.69,2.7,0.42,3.26,0.16,0
2023-2024,West Mahala,East-Gharbia,0.83,0.82,0.0,0.9,0.04,0.71,0.7,0.13,0.92,0.09,0.29,0.3,0.08,0.87,0.09,1.8,1.74,0.0,2.67,0.31,1.43,1.38,0.0,2.12,0.25,2.65,2.68,0.0,3.23,0.19,0
2023-2024,Qatour,Central-Gharbia,0.83,0.83,0.0,0.9,0.04,0.72,0.71,0.14,0.93,0.09,0.28,0.29,0.07,0.86,0.09,1.86,1.8,0.0,3.2,0.31,1.48,1.43,0.0,2.53,0.25,2.73,2.75,0.0,4.3,0.17,0
2023-2024,Tanta,Central-Gharbia,0.83,0.84,0.0,0.91,0.04,0.72,0.72,0.14,0.92,0.1,0.28,0.28,0.08,0.86,0.1,1.83,1.8,0.0,3.18,0.33,1.45,1.43,0.0,2.52,0.26,2.6,2.63,0.0,4.04,0.21,0
2023-2024,Kafr El-Zayat,West-Gharbia,0.83,0.84,0.0,0.91,0.04,0.72,0.71,0.14,0.95,0.09,0.28,0.29,0.05,0.86,0.09,1.84,1.79,0.0,2.68,0.32,1.46,1.42,0.0,2.12,0.25,2.66,2.69,0.0,3.24,0.19,0
2023-2024,Basyon,West-Gharbia,0.84,0.84,0.0,0.91,0.04,0.72,0.72,0.14,0.93,0.09,0.28,0.28,0.07,0.86,0.09,1.89,1.84,0.0,2.75,0.31,1.5,1.46,0.0,2.18,0.25,2.77,2.78,0.0,3.35,0.19,0
